test %,seed,h_size,l_rate,val %
81.82,19,20,0.001,60.0
90.91,19,20,0.00144,56.67
81.82,19,20,0.00183,63.33
81.82,19,20,0.00234,63.33
81.82,19,20,0.00297,53.33
72.73,19,20,0.00379,53.33
72.73,20,4,0.000886,46.67
72.73,20,4,0.00113,46.67
72.73,20,4,0.001,46.67
72.73,20,4,0.00144,46.67
72.73,20,4,0.00183,46.67
72.73,20,4,0.00234,46.67
81.82,20,6,0.0001,46.67
81.82,20,6,0.000127,46.67
81.82,20,6,0.000162,46.67
81.82,20,6,0.000207,46.67
81.82,20,6,0.000264,46.67
81.82,20,6,0.000336,43.33
81.82,20,6,0.000428,40.0
81.82,20,6,0.000546,40.0
81.82,20,6,0.000695,40.0
81.82,20,6,0.000886,40.0
81.82,20,6,0.00113,36.67
81.82,20,6,0.001,40.0
81.82,20,6,0.00144,36.67
72.73,20,6,0.00183,43.33
72.73,20,6,0.00234,43.33
72.73,20,6,0.00297,43.33
72.73,20,6,0.00379,43.33
72.73,20,12,0.00113,46.67
72.73,20,12,0.001,46.67
72.73,20,12,0.00183,53.33
72.73,20,12,0.00234,56.67
72.73,20,12,0.00297,56.67
